time,col1,col2
2017-03-23,0.2451404,0.26757803
2017-03-24,0.215950193,0.239963918
2017-03-25,0.186525576,0.21072433
2017-03-26,0.156889946,0.180809665
2017-03-27,0.126632862,0.150314888
2017-03-28,0.095806438,0.119613436
2017-03-29,0.065288821,0.088943375
2017-03-30,0.035113749,0.059128768
2017-03-31,0.00576619,0.030093552
2017-04-01,-0.022214127,0.002492244
2017-04-02,-0.048774129,-0.023450238
2017-04-03,-0.073412498,-0.047858693
2017-04-04,-0.096119341,-0.070914688
2017-04-05,-0.117199472,-0.092396351
2017-04-06,-0.136938042,-0.111989055
2017-04-07,-0.155503123,-0.129837112
2017-04-08,-0.172317793,-0.146196043
2017-04-09,-0.187161705,-0.1610184
2017-04-10,-0.199679971,-0.17452612
2017-04-11,-0.210031144,-0.186852753
2017-04-12,-0.218272944,-0.197463133
2017-04-13,-0.224555852,-0.20626286
2017-04-14,-0.22837549,-0.212876452
2017-04-15,-0.229267122,-0.217223679
2017-04-16,-0.227376288,-0.219101701
2017-04-17,-0.223201996,-0.218682935
2017-04-18,-0.218436375,-0.216270659
2017-04-19,-0.211955824,-0.211800232
2017-04-20,-0.204716506,-0.20593344
2017-04-21,-0.196468956,-0.198390579
2017-04-22,-0.185860294,-0.18990049
2017-04-23,-0.175113393,-0.18028335
2017-04-24,-0.162844239,-0.169988964
2017-04-25,-0.150066183,-0.159294083
2017-04-26,-0.136245689,-0.147802309
2017-04-27,-0.121539343,-0.135811007
2017-04-28,-0.107659611,-0.123996699
2017-04-29,-0.093904382,-0.112013481
2017-04-30,-0.080773831,-0.099860981
2017-05-01,-0.0683762,-0.087846468
2017-05-02,-0.056388291,-0.076249065
2017-05-03,-0.045529077,-0.064458817
2017-05-04,-0.035187084,-0.053243734
2017-05-05,-0.025696941,-0.04274887
2017-05-06,-0.017214838,-0.032705662
2017-05-07,-0.006374876,-0.023209169
2017-05-08,-0.00053045,-0.014885004
2017-05-09,0.007128072,-0.007635308
2017-05-10,0.011107952,-0.001698386
2017-05-11,0.015197828,0.002545626
2017-05-12,0.017122704,0.004793456
2017-05-13,0.015029829,0.004974876
2017-05-14,0.010845718,0.002939113
2017-05-15,0.003188439,-0.001359494
2017-05-16,-0.005012096,-0.007656984
2017-05-17,-0.01486565,-0.016053229
2017-05-18,-0.025484892,-0.025994241
2017-05-19,-0.036818574,-0.037196059
2017-05-20,-0.048081426,-0.049418697
2017-05-21,-0.059429105,-0.062184071
2017-05-22,-0.071215307,-0.075328147
2017-05-23,-0.083956215,-0.088757167
2017-05-24,-0.097666796,-0.102296736
2017-05-25,-0.112740777,-0.116193081
